Results.index,results_id,Counter,Item.number,Polarity,ScaleType,Sample,Adverb,Subject,value,responseTime,Planet,Degree,Rank,ComputedRank,p0,p1,a,b,Class,Adj,ScaleType2,minDeg,maxDeg
10,418463,6,137,Aff,Min2,15,absolutelyAdj,Subject6,31,27093,Beta Arboris 4,0.0545,10,10,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,131,Aff,Min2,9,absolutelyAdj,Subject6,45,7214,Ipra,0.127,12,12,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,140,Aff,Min2,18,absolutelyAdj,Subject6,0,7961,Nu Anatis 2,0,6,5,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,125,Aff,Min2,3,absolutelyAdj,Subject6,77,5705,Virtokh,0.2467,16,16,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,124,Aff,Min2,2,absolutelyAdj,Subject6,0,3790,Stogzak,0,2,5,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,133,Aff,Min2,11,absolutelyAdj,Subject6,78,3386,Ogawa,0.3218,18,18,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,128,Aff,Min2,6,absolutelyAdj,Subject6,100,3323,Ungeron,0.4459,20,20,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,130,Aff,Min2,8,absolutelyAdj,Subject6,61,4615,Enrephus,0.1855,14,14,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,139,Aff,Min2,17,absolutelyAdj,Subject6,0,2893,Gamma Octopodis 4,0,4,5,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,132,Aff,Min2,10,absolutelyAdj,Subject6,0,3523,Viuq 5v,0,8,5,0.45,0,2.16,6.77,D,6,Min,0,0.4459
10,418463,6,120,Neg,Relative2,18,quiteAdj,Subject6,51,19494,Nu Anatis 1,0.5113,7,7,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,119,Neg,Relative2,17,quiteAdj,Subject6,28,3001,Gamma Octopodis 3,0.5879,13,13,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,121,Neg,Relative2,19,quiteAdj,Subject6,12,3260,Beta Ovis 4,0.6458,17,17,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,106,Neg,Relative2,4,quiteAdj,Subject6,26,3167,Ulnion,0.5627,11,11,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,116,Neg,Relative2,14,quiteAdj,Subject6,100,5096,Alpha Nivis 1,0.3831,1,1,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,112,Neg,Relative2,10,quiteAdj,Subject6,49,4059,Zomia P,0.4817,5,5,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,110,Neg,Relative2,8,quiteAdj,Subject6,31,4830,Bogophus,0.5376,9,9,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,115,Neg,Relative2,13,quiteAdj,Subject6,81,5029,Dreron,0.4446,3,3,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,117,Neg,Relative2,15,quiteAdj,Subject6,2,2331,Beta Arboris 3,0.6148,15,15,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,103,Neg,Relative2,1,quiteAdj,Subject6,2,1928,Zolirs,0.6877,19,19,0,0,12.85,10.31,C,5,Relative,0.3831,0.7209
10,418463,6,151,Neg,MinMax2,9,aBitAdjAtAll,Subject6,39,10075,Anvone,0.2697,7,7,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,142,Neg,MinMax2,0,aBitAdjAtAll,Subject6,17,3283,Eello,0.5969,15,15,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,144,Neg,MinMax2,2,aBitAdjAtAll,Subject6,28,4788,Fankroth,0.502,13,13,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,156,Neg,MinMax2,14,aBitAdjAtAll,Subject6,99,2715,Cara 80,0,3,2,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,147,Neg,MinMax2,5,aBitAdjAtAll,Subject6,75,2300,Dagua 98,0.1812,5,5,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,146,Neg,MinMax2,4,aBitAdjAtAll,Subject6,0,1389,Azinides,1,19,19,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,155,Neg,MinMax2,13,aBitAdjAtAll,Subject6,11,2038,Tholla D1,0.7408,17,17,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,148,Neg,MinMax2,6,aBitAdjAtAll,Subject6,97,2197,Cronoe SDRW,0,1,2,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,154,Neg,MinMax2,12,aBitAdjAtAll,Subject6,34,3784,Tholla D0,0.4218,11,11,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,143,Neg,MinMax2,1,aBitAdjAtAll,Subject6,36,1885,Stugvath,0.3466,9,9,0.15,0.15,2.22,3.14,B,0,MinMax,0,1
10,418463,6,43,Aff,Max1,1,Adj,Subject6,100,10387,Shihaen,1,18,16,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,42,Aff,Max1,0,Adj,Subject6,79,3082,Zegnir,0.8005,8,8,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,48,Aff,Max1,6,Adj,Subject6,27,1597,Ungeron,0.3455,2,2,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,47,Aff,Max1,5,Adj,Subject6,100,1568,Chalea,1,20,16,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,52,Aff,Max1,10,Adj,Subject6,100,1757,Viuq 5v,1,12,16,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,60,Aff,Max1,18,Adj,Subject6,100,1482,Nu Anatis 2,1,16,16,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,49,Aff,Max1,7,Adj,Subject6,39,2129,Brilia 6135,0.5259,4,4,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,59,Aff,Max1,17,Adj,Subject6,100,2444,Gamma Octopodis 4,1,14,16,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,44,Aff,Max1,2,Adj,Subject6,86,1753,Stogzak,0.9164,10,10,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,51,Aff,Max1,9,Adj,Subject6,60,2883,Ipra,0.6724,6,6,0,0.45,1.65,1,D,3,Max,0.227,1
10,418463,6,126,Neg,Min2,4,absolutelyAdj,Subject6,100,14836,Hobbuna,0,9,5,0.45,0,2.16,6.77,D,6,Min,0,0.4459
